nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
admissions,lend,lends,"admissions of lack of omniscience lend a person a certain je ne sais quoi , blueplatypus .","admissions of lack of omniscience [MASK] a person a certain je ne sais quoi , blueplatypus .",lends,lends,17,5,2,0,5,2,1,,
documentaries,include,includes,documentaries she has composed the music for include suburb for sale ( 2006 ) and a well founded fear ( 2008 ) .,documentaries she has composed the music for [MASK] suburb for sale ( 2006 ) and a well founded fear ( 2008 ) .,include,include,23,7,1,1,7,1,2,,
members,have,has,"the caudal fin of leptolebias species is elongated and longer than deep , and the members of this genus have a single anterior supraorbital neuromast .","the caudal fin of leptolebias species is elongated and longer than deep , and the members of this genus [MASK] a single anterior supraorbital neuromast .",have,have,26,4,4,1,19,2,1,,
views,seem,seems,"in addition , her father 's views on social justice seem to have predisposed her to involvement with radical politics .","in addition , her father 's views on social justice [MASK] to have predisposed her to involvement with radical politics .",seems,seems,21,4,3,0,10,3,1,,
instruments,include,includes,instruments currently located at the sagamore hill rstn site include the radio interference monitoring sets ( rims ) and the solar radio spectrograph ( srs ) .,instruments currently located at the sagamore hill rstn site [MASK] the radio interference monitoring sets ( rims ) and the solar radio spectrograph ( srs ) .,include,include,27,9,0,1,9,0,none,,
traces,come,comes,the first lasting human traces on the immediate area around gandria come from the iron age people of the celts ( as of 800 b .,the first lasting human traces on the immediate area around gandria [MASK] from the iron age people of the celts ( as of 800 b .,comes,come,26,7,1,1,11,1,3,,
pages,process,processes,"pages needing translation into english ] ] process a second time , it 's not fair to those of us who try to keep that moving .","pages needing translation into english ] ] [MASK] a second time , it 's not fair to those of us who try to keep that moving .",process,process,27,7,1,1,7,1,5,,
features,include,includes,"unique features of this home include roof surfaces that support living lawns and contribute to thermal efficiency , innovative electrical and energy management systems that reduce energy use , and one of the first examples of central air conditioning with electrostatic air purification .","unique features of this home [MASK] roof surfaces that support living lawns and contribute to thermal efficiency , innovative electrical and energy management systems that reduce energy use , and one of the first examples of central air conditioning with electrostatic air purification .",include,include,44,4,1,0,5,1,1,,
features,include,includes,"notable features in the male include a long , metallic green crest , coppery feathers on the back and neck , and a prominent white rump that is most visible when the bird is in flight .","notable features in the male [MASK] a long , metallic green crest , coppery feathers on the back and neck , and a prominent white rump that is most visible when the bird is in flight .",include,include,37,4,1,0,5,1,1,,
soldiers,investigate,investigates,"two female soldiers , lieutenant henson and private rodriguez , and a male soldier , bart investigate the dorms .","two female soldiers , lieutenant henson and private rodriguez , and a male soldier , bart [MASK] the dorms .",investigate,investigate,20,14,2,0,16,2,3,,
acts,occur,occurs,"while they occur less frequently than at high security prisons , serious acts of violence also occur at low security institutions such as fci big spring .","while they occur less frequently than at high security prisons , serious acts of violence also [MASK] at low security institutions such as fci big spring .",occur,occur,27,4,3,1,16,2,2,,
women,need,needs,women with placenta previa need to be carefully monitored by a health care provider .,women with placenta previa [MASK] to be carefully monitored by a health care provider .,need,need,15,4,1,0,4,1,1,,
advantages,include,includes,advantages of this approach include the ability to spatially or temporally control reaction and the ability to incorporate both alkenes and tetrazoles into biomolecules using simple biological methods such as genetic encoding .,advantages of this approach [MASK] the ability to spatially or temporally control reaction and the ability to incorporate both alkenes and tetrazoles into biomolecules using simple biological methods such as genetic encoding .,include,include,33,4,1,0,4,1,1,,
malls,include,includes,malls on the road include marina mall and darine mall .,malls on the road [MASK] marina mall and darine mall .,include,include,11,4,1,0,4,1,1,,
areas,include,includes,the residential areas of the cantonment include the i .,the residential areas of the cantonment [MASK] the i .,include,include,10,4,1,0,6,1,1,,
figures,include,includes,key figures in the company include mr .,key figures in the company [MASK] mr .,include,include,8,4,1,0,5,1,1,,
artists,include,includes,"other artists who have covered this song include dave edmunds , the carpenters , jack nitzsche , the raindrops , brian poole and the tremeloes and the searchers .","other artists who have covered this song [MASK] dave edmunds , the carpenters , jack nitzsche , the raindrops , brian poole and the tremeloes and the searchers .",include,include,29,6,1,1,7,1,1,,
books,include,includes,"her books of poetry include presentation piece ( 1974 ) , which won the national book award , love , death , and the changing of the seasons ( 1986 ) , and going back to the river ( 1990 ) .","her books of poetry [MASK] presentation piece ( 1974 ) , which won the national book award , love , death , and the changing of the seasons ( 1986 ) , and going back to the river ( 1990 ) .",include,include,42,3,1,0,4,1,1,,
artists,include,includes,"other notable artists that influenced their sound include brian eno , rain tree crow , yes , gong , the legendary pink dots , porcupine tree , radiohead , rush and pink floyd .","other notable artists that influenced their sound [MASK] brian eno , rain tree crow , yes , gong , the legendary pink dots , porcupine tree , radiohead , rush and pink floyd .",include,include,34,5,1,1,7,1,1,,
proponents,argue,argues,proponents of drug law reform argue that relative harm should be taken into account in the scheduling of controlled substances .,proponents of drug law reform [MASK] that relative harm should be taken into account in the scheduling of controlled substances .,argue,argue,21,5,3,0,5,3,1,,
cricketers,include,includes,early prominent cricketers who played in the eton v harrow match include e .,early prominent cricketers who played in the eton v harrow match [MASK] e .,include,include,14,9,0,1,11,0,none,,
